"SalesOfficeName","GLA","SLA","YearlyHours","RoofHeight","LaserLight","StandAlone","Orientation","Fittings","NoofFittings","MechPacUnits","MechSplit_DuctedUnits","AirhandlingUnits","TotalKw","LEDBatternsReceiving","BEMS","BEMSInstallDate","SalesOfficeLong","SalesOfficeLat","OpenYear"
"richmond",4510,1498,5408,6.5,"a","a","W","Highbay LED 150w",91,5,3,0,219.1,"NONE","NONE",2020-01-01,145.010734,-37.820158,"1994"
"south melbourne",2211,1829,5408,6.5,"a","a","W","Highbay MH 350w",122,7,1,0,240.5,"NONE","NONE",2020-01-01,144.967775,-37.832192,"1995"
"fitzroy",2663,2378,5408,4.8,"Roof Windows","a","E","Highbay LED 150w",155,7,3,0,421.5,"NONE","Yes",2015-09-01,144.984319,-37.794203,"1995"
"maribyrnong",2381,1651,5408,5,"NONE","2 Wall","W","Highbay LED 150w",103,0,4,0,212.1,"a","NONE",2020-01-01,144.884026,-37.772555,"1996"
"chadstone",3430,1866,6188,6.5,"a","a","W","Highbay LED 150w",106,11,0,0,331,"a","NONE",2020-01-01,145.092144,-37.879037,"1995"
"preston",2131,1750,5408,6.5,"a","1 Wall","W","Highbay LED 150w",109,5,0,0,206,"NONE","NONE",2020-01-01,145.017471,-37.743843,"1996"
"highett",2219,1636,6188,6.5,"a","a","W","Highbay LED 150w",115,3,3,0,225,"NONE","Yes",2014-06-01,145.045066,-37.947125,"1997"
"frankston",2022,1436,5408,6.5,"a","a","W","Highbay LED 150w",89,4,1,0,207.5,"NONE","NONE",2020-01-01,145.124352,-38.135046,"1997"
"geelong",2887,2089,5408,4.8,"NONE","1 Wall","N","Highbay LED 150w",144,4,6,0,265.1,"a","Yes",2016-03-01,144.364107,-38.148176,"1996"
"doncaster",2140,1794,5408,4.8,"NONE","1 Wall","W","Fluoro Batterns",510,3,7,0,252.4,"NONE","NONE",2020-01-01,145.12565,-37.787861,"2004"
"ferntree gully",1966,1707,5408,6.5,"a","1 Wall","N","Highbay MH 350w",105,7,2,0,248.5,"NONE","NONE",2020-01-01,145.273601,-37.88239,"1999"
"bundoora",1776,1236,5408,6.5,"a","a","E","Highbay LED 150w",104,5,1,0,335.3,"NONE","Yes",2013-11-01,145.05455,-37.702022,"2003"
"ballarat",2117,1551,5408,6.5,"a","a","W","Highbay LED 150w",112,5,1,0,262,"NONE","NONE",2020-01-01,143.854712,-37.554836,"2000"
"shepparton",2132,1608,5408,6.5,"a","a","W","Highbay LED 150w",111,5,0,0,263,"NONE","NONE",2020-01-01,145.408248,-36.382769,"2002"
"elsternwick",1116,783,5408,4.3,"NONE","2 Wall","S","Highbay LED 100w",77,4,2,0,113,"NONE","NONE",2020-01-01,145.003738,-37.882848,"2003"
"werribee",1864,1324,5408,4.5,"NONE","2 Wall","W","Highbay LED 150w",83,4,1,0,255.7,"a","NONE",2020-01-01,144.659761,-37.903862,"2002"
"narre warren",1547,1118,5408,6.5,"NONE","2 Wall","N","Highbay MH 350w",67,1,0,0,23,"NONE","NONE",2020-01-01,145.304296,-38.017009,"2003"
"bendigo",1615,982,4680,4.5,"NONE","2 Wall","W","Highbay MH 350w",59,0,2,0,109,"NONE","NONE",2020-01-01,144.280615,-36.760298,"2003"
"yarraville",1675,1315,5408,6.5,"a","1 Wall","W","Highbay LED 150w",96,5,0,0,254.5,"a","NONE",2020-01-01,144.881387,-37.824158,"2004"
"campbellfield",1720,1236,5408,6.5,"a","1 Wall","W","Highbay LED 150w",81,4,0,0,198,"a","Yes",2016-10-01,144.958602,-37.686809,"2004"
"glen waverley",1637,1194,5408,6.5,"a","a","W","Highbay MH 350w",80,3,1,0,298,"NONE","NONE",2020-01-01,145.165669,-37.887344,"2007"
"nunawading",1732,1264,5408,6.5,"a","1 Wall","N","Highbay MH 350w",71,6,0,0,361,"NONE","NONE",2020-01-01,145.169467,-37.818438,"2005"
"airport west",1528,1074,5408,6.5,"a","2 Wall","N","Highbay LED 150w",71,5,2,0,270,"NONE","NONE",2020-01-01,144.883575,-37.693601,"2006"
"mornington",1781,1368,5408,6.5,"a","1 Wall","S","Highbay LED 150w",91,5,1,0,290,"NONE","NONE",2020-01-01,145.060558,-38.220498,"2005"
"south yarra",924,723,5408,5,"a","a","S","Highbay LED 150w",48,5,1,0,164,"a","NONE",2020-01-01,144.988546,-37.845816,"2006"
"cranbourne",1130,829,5408,3.5,"NONE","2 Wall","S","Fluoro Batterns 3x36",146,1,2,0,97,"NONE","NONE",2020-01-01,145.282216,-38.105487,"2005"
"ringwood",1746,1277,5408,6.5,"a","1 Wall","N","Highbay MH 350w",85,5,1,0,310.8,"NONE","NONE",2020-01-01,145.232391,-37.81331,"2006"
"mildura",1000,675,5408,5,"NONE","a","N","Highbay LED 150w",54,4,0,0,210.4,"NONE","NONE",2020-01-01,142.158687,-34.188101,"2008"
"ascot vale",1680,1213,4004,4,"NONE","2 Wall","W","Highbay MH 350w",70,0,7,0,318,"NONE","NONE",2020-01-01,144.938378,-37.784766,"2012"
"epping",1184,877,5408,6.5,"a","2 Wall","W","Highbay MH 350w",72,6,0,0,246,"NONE","NONE",2020-01-01,145.02481,-37.652874,"2007"
